Datetime,Class,Distance (m),Drone Lat,Drone Lon,Drone Heading,Object Lat,Object Lon,Object Heading
2024/05/14-11:55:21,trash_0,5.0773976865074575,37.4191708,-5.9990654,346.41,37.419214329240376,-5.999047752773808,377.91863816201936
2024/05/14-11:55:21,trash_1,3.9716191318533327,37.4191708,-5.9990654,346.41,37.41920627650858,-5.999059521229852,367.5289877991602
2024/05/14-11:55:21,trash_0,5.0785277171793615,37.4191708,-5.9990654,346.41,37.419214338928285,-5.999047748846223,377.91863816201936
2024/05/14-11:55:21,trash_1,3.9967464525785994,37.4191708,-5.9990654,346.41,37.41920650095851,-5.999059484036503,367.5289877991602
2024/05/14-11:55:21,trash_0,5.067522400691585,37.4191708,-5.9990654,346.41,37.41921424457817,-5.999047787096803,377.91863816201936
2024/05/14-11:55:21,trash_1,3.998379650351954,37.4191708,-5.9990654,346.41,37.41920651554707,-5.999059481619051,367.5289877991602
2024/05/14-11:55:21,trash_0,5.067335879630961,37.4191708,-5.9990654,346.41,37.4192142429791,-5.999047787745085,377.91863816201936
2024/05/14-11:55:21,trash_1,4.006240489804908,37.4191708,-5.9990654,346.41,37.419206585764044,-5.9990594699834725,367.5289877991602
2024/05/14-11:55:21,trash_0,5.049591953253912,37.4191708,-5.9990654,346.5,37.419214106117614,-5.999047908696088,377.85607311104496
2024/05/14-11:55:21,trash_1,3.970667504815507,37.4191708,-5.9990654,346.5,37.41920627553589,-5.999059594495515,367.43641415624285
2024/05/14-11:55:21,trash_0,5.055473478467922,37.4191708,-5.9990654,346.5,37.41921415655852,-5.9990478883230365,377.85607311104496
2024/05/14-11:55:21,trash_1,3.9843858533971375,37.4191708,-5.9990654,346.5,37.41920639810111,-5.999059574437938,367.43641415624285
2024/05/14-11:55:21,trash_0,5.052529850737567,37.4191708,-5.9990654,346.5,37.419214131313495,-5.999047898519485,377.85607311104496
2024/05/14-11:55:21,trash_1,3.968599526406781,37.4191708,-5.9990654,346.5,37.41920625705975,-5.999059597519102,367.43641415624285
2024/05/14-11:55:22,trash_0,5.067102441123138,37.4191708,-5.9990655,346.63,37.41921422441532,-5.9990478244648395,377.98607311104496
2024/05/14-11:55:22,trash_1,4.003503541204314,37.4191708,-5.9990655,346.63,37.41920655822122,-5.999059544747921,367.56641415624284
2024/05/14-11:55:22,trash_0,3.990598730401635,37.4191708,-5.9990655,346.63,37.41920642769137,-5.999059421574012,367.74898779916015
2024/05/14-11:55:22,trash_1,5.087468883948193,37.4191708,-5.9990655,346.63,37.419214398953116,-5.999047753420689,377.98607311104496
2024/05/14-11:55:22,trash_0,5.066299633560314,37.4191708,-5.9990655,346.73,37.41921419286787,-5.999047732283314,378.086073111045
2024/05/14-11:55:22,trash_1,3.961287254236623,37.4191708,-5.9990655,346.73,37.41920617290016,-5.999059530130907,367.66641415624287
2024/05/14-11:55:22,trash_0,5.054511864854409,37.4191708,-5.9990655,346.73,37.41921412952069,-5.999047918688128,377.9330113586046
2024/05/14-11:55:22,trash_1,3.976490970114388,37.4191708,-5.9990655,346.73,37.41920630866398,-5.999059507218094,367.66641415624287
2024/05/14-11:55:22,trash_0,5.064969482317156,37.4191708,-5.9990655,346.73,37.41921421916801,-5.9990478823129605,377.9330113586046
2024/05/14-11:55:22,trash_1,3.980370546292375,37.4191708,-5.9990655,346.73,37.41920634330723,-5.999059501371364,367.66641415624287
2024/05/14-11:55:22,trash_0,5.06275128651329,37.4191708,-5.9990655,346.85,37.41921417064068,-5.999047776102251,378.0530113586046
2024/05/14-11:55:22,trash_1,3.982999529240539,37.4191708,-5.9990655,346.85,37.419206356678025,-5.999059404027283,367.78641415624287
2024/05/14-11:55:22,trash_0,3.993146451284973,37.4191708,-5.9990655,346.85,37.41920644726072,-5.9990593884974315,367.78641415624287
2024/05/14-11:55:22,trash_1,5.065745879455625,37.4191708,-5.9990655,346.85,37.41921419629421,-5.999047765618646,378.0530113586046
2024/05/14-11:55:22,trash_0,5.082639525960852,37.4191707,-5.9990656,346.96,37.41921421368886,-5.999047701702451,378.16301135860454
2024/05/14-11:55:22,trash_1,3.975945665162957,37.4191707,-5.9990656,346.96,37.41920618432402,-5.999059429398033,367.8964141562428
2024/05/14-11:55:22,trash_0,5.081304717910705,37.4191707,-5.9990656,346.96,37.419214202261244,-5.999047706402922,378.16301135860454
2024/05/14-11:55:22,trash_1,4.003667847063042,37.4191707,-5.9990656,346.96,37.41920643173757,-5.999059386373643,367.8964141562428
2024/05/14-11:55:22,trash_0,5.088625278991558,37.4191707,-5.9990656,346.96,37.41921426493431,-5.999047680623865,378.16301135860454
2024/05/14-11:55:22,trash_1,3.9937430852808373,37.4191707,-5.9990656,346.96,37.41920634316155,-5.999059401776718,367.8964141562428
2024/05/14-11:55:23,trash_0,5.092548444877074,37.4191707,-5.9990657,347.08,37.41921430689157,-5.9990477988283235,378.1294526704416
2024/05/14-11:55:23,trash_1,3.982129273385176,37.4191707,-5.9990657,347.08,37.419206229109435,-5.999059426491112,368.01641415624283
2024/05/14-11:55:23,trash_0,5.096941976289111,37.4191707,-5.9990657,347.08,37.41921434451287,-5.999047783384305,378.1294526704416
2024/05/14-11:55:23,trash_1,3.981810725904704,37.4191707,-5.9990657,347.08,37.419206226267306,-5.9990594269929565,368.01641415624283
2024/05/14-11:55:23,trash_0,5.087867894600208,37.4191707,-5.9990658,347.22,37.41921427031067,-5.999047928682006,378.1153968393317
2024/05/14-11:55:23,trash_1,3.987144234766592,37.4191707,-5.9990658,347.22,37.41920627760527,-5.999059552081011,367.9733942642625
2024/05/14-11:55:23,trash_0,5.100481217378631,37.4191707,-5.9990658,347.22,37.419214378325734,-5.999047884377233,378.1153968393317
2024/05/14-11:55:23,trash_1,4.001664490258197,37.4191707,-5.9990658,347.22,37.41920640717066,-5.999059529327528,367.9733942642625
2024/05/14-11:55:23,trash_0,5.073375437046902,37.4191707,-5.9990658,347.22,37.4192141462035,-5.999047979587312,378.1153968393317
2024/05/14-11:55:23,trash_1,3.9819444599714022,37.4191707,-5.9990658,347.22,37.41920623120726,-5.9990595602291465,367.9733942642625
2024/05/14-11:55:23,trash_0,5.08953799518727,37.4191707,-5.9990658,347.32,37.419214259660336,-5.999047827468466,378.2153968393317
2024/05/14-11:55:23,trash_1,3.9798927099302768,37.4191707,-5.9990658,347.32,37.41920618789548,-5.999059343582244,368.25641415624284
2024/05/14-11:55:23,trash_0,5.086652964869866,37.4191707,-5.9990658,347.32,37.41921423496832,-5.99904783765629,378.2153968393317
2024/05/14-11:55:23,trash_1,4.0243228227647085,37.4191707,-5.9990658,347.32,37.419206600519544,-5.9990594152521375,368.07339426426245
2024/05/14-11:55:23,trash_0,5.0839227568639815,37.4191707,-5.9990659,347.44,37.41921418151663,-5.999047833079144,378.3353968393317
2024/05/14-11:55:23,trash_1,3.9886613859902527,37.4191707,-5.9990659,347.44,37.41920627173897,-5.999059478408123,368.19339426426245
2024/05/14-11:55:23,trash_0,5.0967121636323895,37.4191707,-5.9990659,347.44,37.419214329710655,-5.999047935120263,378.18084368545925
2024/05/14-11:55:23,trash_1,3.9929127473182877,37.4191707,-5.9990659,347.44,37.41920630965353,-5.99905947156359,368.19339426426245
2024/05/14-11:55:23,trash_0,5.084381444197759,37.4191707,-5.9990659,347.44,37.41921422415521,-5.999047978583583,378.18084368545925
2024/05/14-11:55:23,trash_1,3.999267952773007,37.4191707,-5.9990659,347.44,37.41920636633061,-5.9990594613319494,368.19339426426245
2024/05/14-11:55:23,trash_0,5.094511916178577,37.4191707,-5.9990659,347.44,37.41921431087573,-5.9990479428756975,378.18084368545925
2024/05/14-11:55:23,trash_1,3.9997960630489855,37.4191707,-5.9990659,347.44,37.419206371040424,-5.999059460481711,368.19339426426245
2024/05/14-11:55:24,trash_0,5.1063423724182,37.4191706,-5.9990659,347.58,37.419214276940835,-5.999047767314539,378.32084368545924
2024/05/14-11:55:24,trash_1,4.004455315958807,37.4191706,-5.9990659,347.58,37.4192062999216,-5.999059343591977,368.33339426426244
2024/05/14-11:55:24,trash_0,5.109552821431897,37.4191706,-5.9990659,347.58,37.419214304401315,-5.99904775591419,378.32084368545924
2024/05/14-11:55:24,trash_1,3.999736650642938,37.4191706,-5.9990659,347.58,37.41920625785446,-5.99905935131775,368.33339426426244
2024/05/14-11:55:24,trash_0,5.097131957971581,37.4191706,-5.9990659,347.58,37.41921419815985,-5.999047800020855,378.32084368545924
2024/05/14-11:55:24,trash_1,4.006263037433482,37.4191706,-5.9990659,347.58,37.41920631603753,-5.999059340632232,368.33339426426244
2024/05/14-11:55:24,trash_0,5.067689474142762,37.4191706,-5.999066,347.64,37.419213970075575,-5.99904809475472,378.225793056795
2024/05/14-11:55:24,trash_1,3.9931344810439886,37.4191706,-5.999066,347.64,37.41920619351563,-5.999059415390994,368.39339426426244
2024/05/14-11:55:24,trash_0,5.087911903379079,37.4191706,-5.999066,347.64,37.41921414314226,-5.9990480233044545,378.225793056795
2024/05/14-11:55:24,trash_1,3.9961988399041575,37.4191706,-5.999066,347.64,37.41920622083033,-5.999059410337918,368.39339426426244
2024/05/14-11:55:24,trash_0,5.088943548039075,37.4191706,-5.999066,347.8,37.41921415085684,-5.9990480154168075,378.23024482947426
2024/05/14-11:55:24,trash_1,4.008424388649433,37.4191706,-5.999066,347.8,37.41920633196093,-5.999059408524366,368.369930233686
2024/05/14-11:55:24,trash_0,5.087453519517392,37.4191706,-5.999066,347.8,37.41921413810527,-5.999048020682648,378.23024482947426
2024/05/14-11:55:24,trash_1,4.006195369259775,37.4191706,-5.999066,347.8,37.41920631209097,-5.999059412189781,368.369930233686
2024/05/14-11:55:24,trash_0,5.065159328820849,37.4191706,-5.999066,347.8,37.41921394731301,-5.999048099471486,378.23024482947426
2024/05/14-11:55:24,trash_1,4.010701939522666,37.4191706,-5.999066,347.8,37.41920635226351,-5.999059404779147,368.369930233686
2024/05/14-11:55:24,trash_0,5.07233464022135,37.4191706,-5.9990661,347.89,37.41921398620693,-5.999048088645044,378.32024482947423
2024/05/14-11:55:24,trash_1,4.009255574312315,37.4191706,-5.9990661,347.89,37.41920631386592,-5.999059293365233,368.64339426426244
2024/05/14-11:55:24,trash_0,5.081611025330221,37.4191706,-5.9990661,347.89,37.41921406555246,-5.999048055705506,378.32024482947423
2024/05/14-11:55:24,trash_1,4.01723475584542,37.4191706,-5.9990661,347.89,37.419206402178,-5.999059423518268,368.4599302336859
2024/05/14-11:55:25,trash_0,5.093564072290431,37.4191705,-5.9990662,347.97,37.41921408690105,-5.999048185777786,378.2441989081753
2024/05/14-11:55:25,trash_1,3.99581279687136,37.4191705,-5.9990662,347.97,37.41920610383212,-5.999059496785821,368.53993023368594
2024/05/14-11:55:25,trash_0,5.0990772170084,37.4191705,-5.9990662,347.97,37.41921417321406,-5.999048315819006,378.08765522649855
2024/05/14-11:55:25,trash_1,4.040273123941348,37.4191705,-5.9990662,347.97,37.419206499986316,-5.9990594222009355,368.539930233686
2024/05/14-11:55:25,trash_0,5.099289496211273,37.4191705,-5.9990662,347.97,37.41921417503222,-5.99904831507447,378.08765522649855
2024/05/14-11:55:25,trash_1,4.02357728936365,37.4191705,-5.9990662,347.97,37.41920635122166,-5.9990594502092085,368.53993023368594
2024/05/14-11:55:25,trash_0,5.1050119774428655,37.4191705,-5.9990662,348.12,37.419214186507986,-5.999048151545851,378.23765522649853
2024/05/14-11:55:25,trash_1,4.020918871847574,37.4191705,-5.9990662,348.12,37.41920631332685,-5.999059337092105,368.68993023368597
2024/05/14-11:55:25,trash_0,5.085962373074369,37.4191705,-5.9990662,348.12,37.41921402348964,-5.999048218894588,378.23765522649853
2024/05/14-11:55:25,trash_1,4.026865561133957,37.4191705,-5.9990662,348.12,37.41920636629255,-5.999059326942285,368.68993023368597
2024/05/14-11:55:25,trash_0,5.103010391507099,37.4191705,-5.9990662,348.12,37.41921416937927,-5.999048158622339,378.23765522649853
2024/05/14-11:55:25,trash_1,4.021674802455875,37.4191705,-5.9990662,348.12,37.41920632005974,-5.999059335801881,368.68993023368597
2024/05/14-11:55:25,trash_0,5.102378329491225,37.4191705,-5.9990663,348.17,37.41921419077379,-5.999048363164567,378.130613747346
2024/05/14-11:55:25,trash_1,4.032121468053577,37.4191705,-5.9990663,348.17,37.41920640830186,-5.9990593786804896,368.739930233686
2024/05/14-11:55:25,trash_0,5.1075612394876355,37.4191704,-5.9990664,348.17,37.41921413515416,-5.999048444944643,378.130613747346
2024/05/14-11:55:25,trash_1,4.021573255601655,37.4191704,-5.9990664,348.17,37.41920621436412,-5.999059496786994,368.739930233686
2024/05/14-11:55:25,trash_0,5.0857383416431166,37.4191704,-5.9990664,348.29,37.41921391832789,-5.999048407345873,378.250613747346
2024/05/14-11:55:25,trash_1,4.010975720391968,37.4191704,-5.9990664,348.29,37.41920610840761,-5.999059421195726,368.859930233686
2024/05/14-11:55:25,trash_0,5.088994040555422,37.4191704,-5.9990664,348.29,37.419213946186694,-5.999048395827643,378.250613747346
2024/05/14-11:55:25,trash_1,4.0464517073695765,37.4191704,-5.9990664,348.29,37.419206424238745,-5.999059359470075,368.859930233686
2024/05/14-11:55:25,trash_0,5.077208794579495,37.4191704,-5.9990664,348.29,37.41921384534113,-5.999048437522273,378.250613747346
2024/05/14-11:55:25,trash_1,4.03459736499012,37.4191704,-5.9990664,348.29,37.41920631870341,-5.9990593800957726,368.859930233686
2024/05/14-11:55:25,trash_0,5.07103680063514,37.4191704,-5.9990664,348.29,37.419213831708085,-5.999048609015749,378.09307446330064
2024/05/14-11:55:25,trash_1,4.029541515577921,37.4191704,-5.9990664,348.29,37.41920629145691,-5.999059533296535,368.67602422166533
2024/05/14-11:55:26,trash_0,5.091611033237643,37.4191704,-5.9990665,348.38,37.41921398548577,-5.999048550973147,378.1830744633006
2024/05/14-11:55:26,trash_1,4.009014215430996,37.4191704,-5.9990665,348.38,37.41920608216185,-5.999059454326235,368.9499302336859
2024/05/14-11:55:26,trash_0,5.079461069066707,37.4191704,-5.9990665,348.38,37.419213881478996,-5.999048593804416,378.1830744633006
2024/05/14-11:55:26,trash_1,4.020832622961001,37.4191704,-5.9990665,348.38,37.41920618735137,-5.999059433555873,368.9499302336859
2024/05/14-11:55:26,trash_0,5.076871242418936,37.4191704,-5.9990665,348.38,37.41921385930943,-5.99904860293412,378.1830744633006
