Datetime,Class,Distance (m),Drone Lat,Drone Lon,Drone Heading,Object Lat,Object Lon,Object Heading
2024/05/14-11:54:24,trash_0,7.8489462928377405,37.4191564,-5.9990256,324.09,37.41922510691762,-5.9990466075661155,346.2949460809354
2024/05/14-11:54:24,trash_0,7.966818434592325,37.4191564,-5.9990256,324.09,37.4192261387289,-5.999046923049115,346.2949460809354
2024/05/14-11:54:24,trash_0,8.098282967157086,37.4191564,-5.9990256,324.09,37.41922728952317,-5.999047274911949,346.2949460809354
2024/05/14-11:54:25,trash_0,8.101646900054524,37.4191564,-5.9990256,324.09,37.41922731896985,-5.9990472839154645,346.2949460809354
2024/05/14-11:54:25,trash_0,8.092973785254879,37.4191564,-5.9990256,324.09,37.41922724304846,-5.999047260702003,346.2949460809354
2024/05/14-11:54:25,trash_0,8.110902697961286,37.4191564,-5.9990256,324.09,37.419227399991854,-5.999047308688469,346.2949460809354
2024/05/14-11:54:25,trash_0,8.247804984248566,37.4191564,-5.9990256,324.09,37.41922865315983,-5.9990473915738045,346.47434077357826
2024/05/14-11:54:25,trash_0,8.261615380988873,37.4191564,-5.9990256,324.09,37.419228774142894,-5.99904742806237,346.47434077357826
2024/05/14-11:54:25,trash_0,8.287010593799861,37.4191564,-5.9990256,324.09,37.41922905079567,-5.99904721079894,346.65327399335166
2024/05/14-11:54:25,trash_0,8.333369370182039,37.4191564,-5.9990256,324.09,37.419229457215074,-5.9990473316931,346.65327399335166
2024/05/14-11:54:25,trash_0,8.305816306041228,37.4191564,-5.9990256,324.09,37.419229215662114,-5.999047259840372,346.65327399335166
2024/05/14-11:54:25,trash_0,8.315820027289618,37.4191564,-5.9990256,324.09,37.41922935688574,-5.999047001107061,346.83174404183535
2024/05/14-11:54:25,trash_0,8.457913388471065,37.4191564,-5.9990256,324.09,37.419230603508275,-5.999047366790568,346.83174404183535
2024/05/14-11:54:25,trash_0,8.620416509001135,37.4191564,-5.9990256,324.09,37.419232029191036,-5.999047784999504,346.83174404183535
2024/05/14-11:54:26,trash_0,8.565472094211918,37.4191564,-5.9990256,324.09,37.41923154714918,-5.999047643597631,346.83174404183535
2024/05/14-11:54:26,trash_0,8.595334270649579,37.4191564,-5.9990256,324.09,37.41923191716745,-5.999047133326356,347.1872880546752
