Datetime,Class,Distance (m),Drone Lat,Drone Lon,Drone Heading,Object Lat,Object Lon,Object Heading
2024/05/14-11:59:37,trash_0,inf,37.4191835,-5.999125,329.67,,,
2024/05/14-11:59:37,trash_0,inf,37.4191848,-5.9991262,330.2,,,
2024/05/14-11:59:37,trash_0,inf,37.419186,-5.9991273,330.84,,,
2024/05/14-11:59:37,trash_0,inf,37.419186,-5.9991273,330.84,,,
2024/05/14-11:59:38,trash_0,inf,37.4191884,-5.9991296,332.48,,,
2024/05/14-11:59:38,trash_0,inf,37.4191884,-5.9991296,332.48,,,
2024/05/14-11:59:43,trash_0,inf,37.4192131,-5.9991486,330.85,,,
2024/05/14-11:59:44,trash_0,inf,37.4192181,-5.9991531,329.67,,,
2024/05/14-11:59:44,trash_0,inf,37.4192181,-5.9991531,329.67,,,
2024/05/14-11:59:47,trash_0,inf,37.4192357,-5.9991682,335.44,,,
2024/05/14-11:59:48,trash_0,inf,37.4192369,-5.999169,335.78,,,
2024/05/14-11:59:48,trash_0,inf,37.4192381,-5.9991696,335.98,,,
2024/05/14-12:00:30,trash_0,8.737115528117771,37.4193248,-5.9992411,147.09,37.41930402944732,-5.999145895836686,105.2982116943762
2024/05/14-12:00:30,trash_0,9.424581356964978,37.4193248,-5.9992411,147.09,37.419302727172045,-5.999138291888931,105.06608391862078
2024/05/14-12:00:30,trash_0,9.245137125057528,37.419324,-5.9992404,147.26,37.4193024323104,-5.999139520774356,105.00563882298569
2024/05/14-12:00:30,trash_0,9.169883034050459,37.419324,-5.9992404,147.26,37.41930371506775,-5.9991399800888,104.21217487673975
2024/05/14-12:00:30,trash_0,9.214974192501003,37.4193231,-5.9992397,147.31,37.419303114387255,-5.9991386608925374,103.92827175106575
2024/05/14-12:00:30,trash_0,9.146962676211393,37.4193231,-5.9992397,147.31,37.41930356999607,-5.999139311603615,103.70769298847492
2024/05/14-12:00:30,trash_0,8.737945595301673,37.4193223,-5.9992391,147.12,37.41930418974129,-5.999143036065154,103.29871991907564
2024/05/14-12:00:30,trash_0,8.762769775575185,37.4193223,-5.9992391,147.12,37.41930428434819,-5.999142720050144,103.18983203835572
2024/05/14-12:00:30,trash_0,8.799357115018681,37.4193223,-5.9992391,147.12,37.419304209126985,-5.9991423176334235,103.18983203835572
2024/05/14-12:00:31,trash_0,9.036481030809167,37.4193215,-5.9992384,146.82,37.41930333693765,-5.999138888956129,102.8898320383557
2024/05/14-12:00:31,trash_0,8.345616730273257,37.4193215,-5.9992384,146.82,37.41930472555764,-5.999146496852629,102.8898320383557
2024/05/14-12:00:31,trash_0,8.727488505343748,37.4193215,-5.9992384,146.82,37.419304392138024,-5.999142168683716,102.56554626989782
2024/05/14-12:00:31,trash_0,9.100055884596564,37.4193207,-5.9992378,146.49,37.41930332304817,-5.999137333521581,102.23554626989784
2024/05/14-12:00:31,trash_0,8.973832786449018,37.4193207,-5.9992378,146.49,37.41930356407725,-5.999138727050084,102.23554626989784
2024/05/14-12:00:31,trash_0,8.665623392714327,37.4193207,-5.9992378,146.49,37.41930443803018,-5.999142052842585,102.02132334456985
2024/05/14-12:00:31,trash_0,9.02247818397144,37.4193199,-5.9992372,146.14,37.41930374998229,-5.999137306266118,101.45866142978238
2024/05/14-12:00:31,trash_0,8.606659098613346,37.4193199,-5.9992372,146.14,37.41930477443097,-5.9991418395463745,101.24754932094604
2024/05/14-12:00:31,trash_0,,37.4193192,-5.9992367,145.83,,,
2024/05/14-12:00:35,trash_0,inf,37.4193075,-5.9992263,148.92,,,
2024/05/14-12:00:36,trash_0,inf,37.4193061,-5.9992254,151.26,,,
2024/05/14-12:00:36,trash_0,inf,37.4193061,-5.9992254,151.26,,,
2024/05/14-12:00:36,trash_0,inf,37.4193048,-5.9992245,153.53,,,
2024/05/14-12:00:40,trash_0,inf,37.4192786,-5.9992144,157.77,,,
2024/05/14-12:00:40,trash_0,inf,37.4192786,-5.9992144,157.77,,,
