Datetime,Class,Distance (m),Drone Lat,Drone Lon,Drone Heading,Object Lat,Object Lon,Object Heading
2024/05/14-12:16:51,trash_0,5.84040458084215,37.4192194,-5.9991289,75.71,37.41925823467996,-5.999084376426537,42.440575551831756
2024/05/14-12:16:51,trash_0,5.984655261157845,37.4192194,-5.9991289,75.71,37.41926018316294,-5.999084671391271,40.85876468511749
2024/05/14-12:16:51,trash_0,5.95434271073649,37.4192194,-5.9991289,75.71,37.41926048560212,-5.999085644222465,40.02070663890641
2024/05/14-12:16:51,trash_0,5.829555017091103,37.4192194,-5.9991267,80.68,37.41925807667201,-5.999082141690578,42.57919005057882
2024/05/14-12:16:51,trash_0,5.767980818374766,37.4192194,-5.9991267,80.68,37.4192597189618,-5.9990855858597145,39.122032943735206
2024/05/14-12:16:51,trash_1,6.077719964366355,37.4192194,-5.9991267,80.68,37.41925550741661,-5.99907508036478,48.748968093078
2024/05/14-12:16:51,trash_0,5.635553944717108,37.4192194,-5.9991267,80.68,37.41926014310831,-5.999088705201739,36.641341400866324
2024/05/14-12:16:51,trash_1,6.040142761353077,37.4192194,-5.9991267,80.68,37.41925703110493,-5.999077406415313,46.25431796607014
2024/05/14-12:16:51,trash_0,5.414558214944756,37.4192192,-5.9991242,86.32,37.419256299265655,-5.999084477964972,40.49642310380499
2024/05/14-12:16:51,trash_1,6.003128882747291,37.4192192,-5.9991242,86.32,37.41925380990333,-5.999072084177532,50.218157009661354
2024/05/14-12:16:51,trash_0,5.936595540507033,37.4192192,-5.9991242,86.32,37.419255803100754,-5.999075296493403,46.819381654495025
2024/05/14-12:16:51,trash_1,5.160858617416689,37.4192192,-5.9991242,86.32,37.41925617378201,-5.9990888438763665,37.33243900673422
2024/05/14-12:16:51,trash_0,5.891216409839844,37.4192188,-5.9991221,91.63,37.419252616521455,-5.999070801627379,50.4259635237784
2024/05/14-12:16:51,trash_0,5.839497359243815,37.4192188,-5.9991221,91.63,37.419253529882795,-5.999072545182953,48.69429078727771
2024/05/14-12:16:51,trash_0,5.763556882548252,37.4192188,-5.9991221,91.63,37.41925418031069,-5.999074439259232,47.054797960969005
2024/05/14-12:16:52,trash_0,5.54290241275019,37.4192183,-5.9991198,97.41,37.41925090181449,-5.99907236490035,49.24799889283399
2024/05/14-12:16:52,trash_0,,37.4192183,-5.9991198,97.41,,,
2024/05/14-12:16:52,trash_0,6.5887796321350685,37.4192177,-5.9991178,102.72,37.41922169394729,-5.999043536485889,86.14240187575815
2024/05/14-12:16:52,trash_0,6.276188075976075,37.4192169,-5.9991159,108.43,37.4192211139633,-5.999045196263858,85.72645113510256
2024/05/14-12:16:52,trash_0,6.191965891092531,37.4192169,-5.9991159,108.43,37.41922242681438,-5.999046294648519,84.31474730915653
2024/05/14-12:16:52,trash_0,6.131159124933635,37.4192169,-5.9991159,108.43,37.4192238591177,-5.999047189267359,82.7630232151527
2024/05/14-12:16:52,trash_0,6.1797571147479085,37.419216,-5.9991142,113.53,37.41921954406003,-5.999044530055202,86.35065605685328
2024/05/14-12:16:52,trash_0,5.995731663848453,37.419216,-5.9991142,113.53,37.41922157418388,-5.999046828922942,84.07752557596831
