Datetime,Class,Distance (m),Drone Lat,Drone Lon,Drone Heading,Object Lat,Object Lon,Object Heading
2024/05/14-11:56:05,trash_0,2.147968724573959,37.4191626,-5.9990702,356.96,37.41918121365309,-5.999076845459705,344.1054182937843
2024/05/14-11:56:05,trash_1,7.003679370773751,37.4191626,-5.9990702,356.96,37.41922368447645,-5.999050342000938,374.5360074544623
2024/05/14-11:56:05,trash_2,6.200119203740844,37.4191626,-5.9990702,356.96,37.419215368076934,-5.999047206150968,379.1649460809354
2024/05/14-11:56:05,trash_0,2.160730946116175,37.4191625,-5.9990702,356.89,37.41918123623502,-5.999076831931985,344.234757732794
2024/05/14-11:56:05,trash_1,6.119727018034402,37.4191625,-5.9990702,356.89,37.41921460595047,-5.999047584092904,379.0949460809354
2024/05/14-11:56:05,trash_2,7.098566256410651,37.4191625,-5.9990702,356.89,37.41922443162428,-5.999050167812481,374.46600745446233
2024/05/14-11:56:05,trash_0,2.146217142396351,37.4191625,-5.9990702,356.89,37.4191811285772,-5.999076706038172,344.43440910600305
2024/05/14-11:56:05,trash_1,7.129962719924924,37.4191625,-5.9990702,356.89,37.41922470554353,-5.99905007921144,374.46600745446233
2024/05/14-11:56:05,trash_2,6.105256098033408,37.4191625,-5.9990702,356.89,37.41921442613975,-5.999047433617502,379.2743407735783
2024/05/14-11:56:05,trash_0,2.2016538900968907,37.4191625,-5.9990701,356.85,37.41918162453981,-5.999076707172818,344.5943682864565
2024/05/14-11:56:05,trash_1,7.158522363846356,37.4191625,-5.9990701,356.85,37.41922496594621,-5.999049953287743,374.42600745446236
2024/05/14-11:56:05,trash_2,6.152841308109374,37.4191625,-5.9990701,356.85,37.4192148436221,-5.999047201984072,379.2343407735783
2024/05/14-11:56:05,trash_0,2.184308739621765,37.4191625,-5.9990701,356.85,37.41918147387216,-5.9990766551199295,344.5943682864565
2024/05/14-11:56:05,trash_1,7.223014280138703,37.4191625,-5.9990701,356.85,37.41922552870878,-5.999049771783643,374.42600745446236
2024/05/14-11:56:05,trash_2,6.094785913852782,37.4191625,-5.9990701,356.85,37.41921429298165,-5.999047215131351,379.4132739933517
