Datetime,Class,Distance (m),Drone Lat,Drone Lon,Drone Heading,Object Lat,Object Lon,Object Heading
2024/05/14-11:49:28,trash_0,inf,37.4190056,-5.9988543,22.94,,,
2024/05/14-11:49:28,trash_0,inf,37.4190056,-5.9988543,22.94,,,
2024/05/14-11:49:32,trash_0,inf,37.4190085,-5.9988463,12.14,,,
2024/05/14-11:49:32,trash_0,inf,37.4190092,-5.9988457,14.16,,,
2024/05/14-11:49:32,trash_0,inf,37.4190099,-5.998845,16.51,,,
2024/05/14-11:49:33,trash_0,inf,37.4190113,-5.9988432,17.46,,,
2024/05/14-11:49:33,trash_0,inf,37.419012,-5.9988423,15.87,,,
2024/05/14-11:49:33,trash_0,inf,37.419012,-5.9988423,15.87,,,
2024/05/14-11:49:34,trash_0,inf,37.4190136,-5.9988407,10.62,,,
2024/05/14-11:49:34,trash_0,inf,37.4190136,-5.9988407,10.62,,,
2024/05/14-11:49:44,trash_0,inf,37.4190517,-5.9988622,294.96,,,
2024/05/14-11:49:44,trash_0,inf,37.4190517,-5.9988622,294.96,,,
2024/05/14-11:49:44,trash_0,inf,37.4190517,-5.9988622,294.96,,,
2024/05/14-11:49:45,trash_0,inf,37.4190523,-5.9988633,294.05,,,
2024/05/14-11:49:45,trash_0,inf,37.4190523,-5.9988633,294.05,,,
2024/05/14-11:49:45,trash_0,inf,37.4190535,-5.9988653,292.52,,,
2024/05/14-11:49:46,trash_0,inf,37.4190545,-5.9988675,291.55,,,
2024/05/14-11:49:46,trash_0,inf,37.4190545,-5.9988675,291.55,,,
2024/05/14-11:49:46,trash_0,inf,37.4190551,-5.9988685,291.19,,,
2024/05/14-11:49:47,trash_0,inf,37.4190569,-5.9988729,289.66,,,
2024/05/14-11:49:47,trash_0,inf,37.4190569,-5.9988729,289.66,,,
2024/05/14-11:49:47,trash_0,inf,37.4190569,-5.9988729,289.66,,,
2024/05/14-11:49:47,trash_0,inf,37.4190574,-5.9988741,289.4,,,
2024/05/14-11:49:48,trash_0,inf,37.4190591,-5.9988787,288.03,,,
2024/05/14-11:49:51,trash_0,inf,37.4190631,-5.998893,283.27,,,
2024/05/14-11:49:52,trash_0,inf,37.4190641,-5.9988981,282.23,,,
2024/05/14-11:49:53,trash_0,inf,37.4190645,-5.9989006,282.13,,,
2024/05/14-11:49:53,trash_0,inf,37.4190645,-5.9989006,282.13,,,
2024/05/14-11:49:53,trash_0,inf,37.4190647,-5.9989019,282.11,,,
2024/05/14-11:49:53,trash_0,inf,37.4190647,-5.9989019,282.11,,,
2024/05/14-11:49:53,trash_0,inf,37.4190647,-5.9989019,282.11,,,
2024/05/14-11:49:53,trash_0,inf,37.4190647,-5.9989019,282.11,,,
2024/05/14-11:49:53,trash_0,inf,37.419065,-5.9989032,281.97,,,
2024/05/14-11:49:54,trash_0,inf,37.4190657,-5.998907,282.03,,,
2024/05/14-11:49:54,trash_0,inf,37.419066,-5.9989083,282.22,,,
2024/05/14-11:49:54,trash_0,inf,37.419066,-5.9989083,282.22,,,
2024/05/14-11:49:54,trash_0,inf,37.4190662,-5.9989096,282.48,,,
2024/05/14-11:49:54,trash_0,inf,37.4190662,-5.9989096,282.48,,,
2024/05/14-11:49:54,trash_0,inf,37.4190662,-5.9989096,282.48,,,
2024/05/14-11:49:54,trash_0,inf,37.4190665,-5.9989109,282.81,,,
2024/05/14-11:49:55,trash_0,inf,37.4190665,-5.9989109,282.81,,,
2024/05/14-11:49:55,trash_0,inf,37.4190665,-5.9989109,282.81,,,
2024/05/14-11:49:55,trash_0,inf,37.4190665,-5.9989109,282.81,,,
2024/05/14-11:49:55,trash_0,inf,37.4190668,-5.9989121,282.95,,,
2024/05/14-11:49:55,trash_0,inf,37.4190668,-5.9989121,282.95,,,
2024/05/14-11:49:55,trash_0,inf,37.4190673,-5.9989148,284.37,,,
2024/05/14-11:49:55,trash_0,inf,37.4190673,-5.9989148,284.37,,,
